algorithm,instance_name,instance_type,n,run_id,start_vertex,best_cost,opt_cost,relative_error_percent,time_ms
RAND,att48,TSP,48,1,-1,30938,10628,191.099,47890.4
RAND,att48,TSP,48,2,-1,31561,10628,196.961,48036.2
RAND,att48,TSP,48,3,-1,31022,10628,191.889,49062
RAND,att48,TSP,48,4,-1,32117,10628,202.192,48420.8
RAND,att48,TSP,48,5,-1,30407,10628,186.103,48427.7
NN,att48,TSP,48,1,0,12861,10628,21.0105,0.068378
RNN,att48,TSP,48,1,9,12012,10628,13.0222,5.17859
RAND,ch130,TSP,130,1,-1,37718,6110,517.316,131794
RAND,ch130,TSP,130,2,-1,37148,6110,507.987,126853
RAND,ch130,TSP,130,3,-1,37236,6110,509.427,127987
RAND,ch130,TSP,130,4,-1,37326,6110,510.9,126317
RAND,ch130,TSP,130,5,-1,37412,6110,512.308,125110
NN,ch130,TSP,130,1,0,7579,6110,24.0426,0.480253
RNN,ch130,TSP,130,1,54,6871,6110,12.455,459.486
RAND,bays29,TSP,29,1,-1,3758,2020,86.0396,31719.3
RAND,bays29,TSP,29,2,-1,3643,2020,80.3465,30375.2
RAND,bays29,TSP,29,3,-1,3788,2020,87.5248,30776
RAND,bays29,TSP,29,4,-1,3633,2020,79.8515,31690.3
RAND,bays29,TSP,29,5,-1,3713,2020,83.8119,31174
NN,bays29,TSP,29,1,0,2258,2020,11.7822,0.041248
RNN,bays29,TSP,29,1,22,2134,2020,5.64356,2.05243
RAND,berlin52,TSP,52,1,-1,20809,7542,175.908,53114
RAND,berlin52,TSP,52,2,-1,20705,7542,174.529,54056.2
RAND,berlin52,TSP,52,3,-1,20924,7542,177.433,52593.8
RAND,berlin52,TSP,52,4,-1,20620,7542,173.402,52486.5
RAND,berlin52,TSP,52,5,-1,20652,7542,173.827,52487.1
NN,berlin52,TSP,52,1,0,8980,7542,19.0666,0.07925
RNN,berlin52,TSP,52,1,39,8181,7542,8.47255,5.09178
RAND,ch150,TSP,150,1,-1,43908,6528,572.61,142013
RAND,ch150,TSP,150,2,-1,43606,6528,567.984,142641
RAND,ch150,TSP,150,3,-1,43316,6528,563.542,142400
RAND,ch150,TSP,150,4,-1,44332,6528,579.105,148279
RAND,ch150,TSP,150,5,-1,43530,6528,566.82,147626
NN,ch150,TSP,150,1,0,8191,6528,25.4749,0.640345
RNN,ch150,TSP,150,1,70,7075,6528,8.37929,249.88
RAND,eil51,TSP,51,1,-1,1175,426,175.822,50895.4
RAND,eil51,TSP,51,2,-1,1190,426,179.343,51583.4
RAND,eil51,TSP,51,3,-1,1183,426,177.7,53992
RAND,eil51,TSP,51,4,-1,1176,426,176.056,52044.1
RAND,eil51,TSP,51,5,-1,1131,426,165.493,52468.3
NN,eil51,TSP,51,1,0,511,426,19.9531,0.076284
RNN,eil51,TSP,51,1,6,465,426,9.15493,2490.48
RAND,eil76,TSP,76,1,-1,1926,538,257.993,74793.7
RAND,eil76,TSP,76,2,-1,1922,538,257.249,75470.2
RAND,eil76,TSP,76,3,-1,1879,538,249.257,74366.4
RAND,eil76,TSP,76,4,-1,1900,538,253.16,76810.9
RAND,eil76,TSP,76,5,-1,1919,538,256.691,76234.5
NN,eil76,TSP,76,1,0,642,538,19.3309,0.281281
RNN,eil76,TSP,76,1,22,565,538,5.01859,14795
